EmployeeID,GivenName,MiddleInitial,Surname,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
102,Charles,B,Barrett,57,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2,18,0,15,2,3,1,2,4,3,3,1,3,0
103,Timothy,S,Wiley,40,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3,14,1,10,3,7,1,7,4,3,3,3,3,0
104,Dorothy,M,Hernandez,21,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1,14,0,3,2,3,2,2,1,4,2,1,3,0
105,Fannie,J,Slocumb,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1,21,1,1,3,1,0,0,4,3,3,1,4,1
106,Morris,S,Rembert,37,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6,19,0,17,3,5,0,3,3,1,3,4,3,0
107,Denise,G,Crowley,46,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2,11,0,7,3,1,0,0,3,3,4,3,3,0
108,Marion,D,Moore,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1,11,0,8,3,8,7,7,1,2,3,4,3,1
109,Helen,R,Charlesworth,50,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6,15,0,20,2,4,1,3,4,4,3,3,3,0
110,Patricia,B,Hall,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2,20,0,8,2,6,1,0,3,3,3,2,4,1
111,Robert,B,Tran,31,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0,24,0,3,5,2,2,2,,2,3,3,4,0
112,Robert,B,Dow,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1,12,1,1,2,1,0,0,3,2,3,3,3,1
113,Andrea,D,Riley,29,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9,12,1,6,6,3,1,2,4,4,3,4,3,0
114,Juanita,C,Spann,35,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9,15,0,10,2,1,0,0,3,2,3,3,3,0
115,James,J,Robinson,27,Travel_Rarely,Sales,2,3,Life Sciences,Male,1,Sales Executive,Divorced,23670,0,12,1,5,2,5,0,4,4,2,3,3,3,0
116,Robert,C,Mike,28,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1,12,0,7,2,7,0,7,2,4,3,2,3,0
117,Matthew,P,Holloway,49,Travel_Rarely,Sales,2,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8,14,1,26,3,5,0,0,2,3,3,3,3,0
118,Glen,B,Crocker,51,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4,22,1,18,2,7,0,7,3,4,2,3,4,0
119,Charles,R,Godfrey,36,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4,12,0,6,1,2,2,2,4,3,3,3,3,0
120,John,A,Locke,34,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8,25,1,9,3,5,0,4,1,4,2,3,4,1
121,Brian,N,Tran,55,Travel_Rarely,Sales,26,3,Marketing,Male,1,Laboratory Technician,Single,104480,2,13,0,30,3,5,1,2,3,4,3,3,3,0
122,Erin,E,Schuler,24,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1,18,3,5,4,5,0,3,4,3,4,3,3,0
123,Kara,G,Harris,30,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1,13,0,1,3,1,0,0,3,2,3,3,3,0
124,Charles,J,Charles,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0,18,3,7,3,6,0,4,3,,3,3,3,1
125,Henry,J,Miller,22,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1,19,2,2,3,2,1,2,1,2,3,2,3,0
126,Jose,M,Fancher,36,Travel_Rarely,Research & Development,1,3,Medical,Female,5,Healthcare Representative,Married,196360,1,12,1,10,3,10,9,0,2,3,3,3,3,0
127,Mark,A,Ayala,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9,19,0,3,2,1,0,0,3,4,3,2,3,1
128,William,T,Foote,37,Travel_Rarely,Research & Development,10,1,Technical Degree,Male,1,Sales Executive,Divorced,133410,1,14,1,18,3,18,12,17,4,1,2,3,3,0
129,William,P,Rice,40,Travel_Rarely,Research & Development,6,2,Medical,Male,3,Research Scientist,Divorced,43320,7,14,2,8,3,5,1,3,4,2,3,2,3,0
130,Donette,J,Walker,42,Travel_Rarely,Research & Development,2,3,Medical,Female,4,Manager,Divorced,110310,3,12,1,8,2,5,1,2,2,1,3,2,3,0
131,Filiberto,P,Goldner,37,Travel_Rarely,Sales,9,1,Marketing,Male,3,Sales Executive,Single,44400,2,11,1,18,3,1,0,1,3,2,2,2,3,0
132,Mary,J,Cox,43,Travel_Rarely,Sales,10,2,Life Sciences,Female,1,Sales Executive,Divorced,46170,1,11,0,25,2,25,3,9,1,2,3,3,3,0
133,Shelly,D,Kangas,40,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Laboratory Technician,Married,26470,6,13,0,20,2,1,0,0,2,3,3,2,3,0
134,Lori,W,Black,54,Travel_Rarely,Human Resources,9,3,Life Sciences,Female,2,Manufacturing Director,Married,63230,4,23,1,24,2,4,1,2,1,1,2,2,4,0
135,Thomas,M,Smith,34,Non-Travel,Research & Development,28,3,Medical,Male,1,Laboratory Technician,Married,56770,9,20,1,6,3,3,1,2,3,3,3,3,4,0
136,Charles,E,Navarro,31,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,Sales Executive,Married,21870,1,15,1,13,2,13,3,12,2,1,1,2,3,0
137,Melisa,A,Grizzard,43,Travel_Frequently,Sales,14,3,Life Sciences,Female,1,Manufacturing Director,Married,37480,7,14,2,,3,3,1,2,4,4,3,2,3,0
138,William,B,Dahms,43,Travel_Rarely,Sales,27,4,Life Sciences,Male,2,Sales Representative,Divorced,39770,4,18,1,8,3,5,0,2,3,3,3,3,3,0
139,Frederick,T,Harris,25,Travel_Rarely,Human Resources,7,2,Human Resources,Male,1,Manufacturing Director,Single,86330,1,19,1,5,2,5,1,3,2,4,3,4,3,0
140,Bryan,S,Holiday,37,Non-Travel,Research & Development,1,3,Medical,Male,3,Laboratory Technician,Married,20080,3,22,0,15,5,13,10,7,2,3,3,2,4,0
141,Michael,M,Nagy,31,Travel_Rarely,Research & Development,24,1,Medical,Male,3,Laboratory Technician,Married,44400,1,13,1,4,2,4,3,2,4,1,3,3,3,0
142,Nicole,M,Padgett,39,Travel_Frequently,Research & Development,26,4,Technical Degree,Female,1,Sales Executive,Divorced,30670,1,20,1,21,5,21,1,6,2,3,3,1,4,0
143,Maxine,K,Pauley,56,Travel_Frequently,Research & Development,20,4,Life Sciences,Female,3,Sales Executive,Married,53210,9,14,0,36,1,7,7,7,3,1,2,3,3,0
144,Melinda,C,Daniel,30,Travel_Rarely,Sales,5,4,Medical,Female,2,Manufacturing Director,Single,54100,0,17,1,6,2,5,4,4,2,3,3,3,3,0
145,Judith,R,Winkelman,41,Travel_Rarely,Research & Development,7,3,Technical Degree,Female,3,Research Scientist,Married,27820,1,14,0,10,2,10,0,7,2,1,3,2,3,0
146,Robert,K,Bergh,28,Travel_Rarely,Research & Development,7,3,Medical,Male,3,Healthcare Representative,Divorced,119570,1,13,0,10,2,10,1,8,3,1,3,2,3,0
147,Cindy,I,Bowden,25,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5,13,0,6,3,2,0,2,1,1,3,3,3,1
148,Patricia,O,Connor,52,Travel_Rarely,Research & Development,26,2,Life Sciences,Female,2,Sales Representative,Married,33750,2,21,0,28,2,5,0,4,4,3,3,2,4,0
149,Melissa,B,Moss,45,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Sales Executive,Married,50980,3,14,1,8,4,2,0,2,1,4,2,3,3,0
150,David,K,Pooler,52,Travel_Rarely,Research & Development,12,3,Medical,Male,2,Research Scientist,Married,48780,2,11,1,31,3,5,1,4,4,4,1,3,3,0
151,Jean,J,McEntee,42,Travel_Frequently,Sales,10,3,Marketing,Female,2,Healthcare Representative,Divorced,28370,2,13,1,19,0,5,0,2,1,3,3,2,3,0
152,Leslie,C,Cox,30,Travel_Rarely,Sales,25,3,Marketing,Male,1,Sales Executive,Single,24060,2,20,1,11,5,5,0,2,3,4,3,3,4,0
153,Zelda,S,Love,60,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,1,Manufacturing Director,Married,22690,5,18,1,33,4,29,11,10,1,1,1,3,3,0
154,Jaymie,D,Marsh,46,Travel_Rarely,Sales,19,4,Marketing,Female,1,Sales Executive,Divorced,41080,2,14,0,19,5,10,0,8,3,3,2,2,3,0
155,Emil,M,Baysinger,42,Travel_Frequently,Research & Development,18,4,Technical Degree,Male,4,Sales Executive,Married,132060,0,13,2,7,2,6,0,4,4,4,4,3,3,0
156,Eddie,A,Finn,24,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1,17,1,6,0,5,1,4,1,2,3,2,3,1
157,Jason,M,Watson,34,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0,20,1,3,3,2,1,0,4,3,2,3,4,1
